"Datum";"Marzahn-Hellersdorf";"Mitte";"Neukoelln";"Tempelhof-Schoeneberg";"Friedrichshain-Kreuzberg";"Pankow";"Reinickendorf";"Charlottenburg-Wilmersdorf";"Spandau";"Lichtenberg";"Steglitz-Zehlendorf";"Treptow-Koepenick"
2020-10-09;17;96;86;58;44;37;32;41;40;13;31;13
2020-10-10;6;19;1;28;23;0;32;27;16;7;11;0
2020-10-11;4;1;43;41;0;0;13;0;30;0;18;0
2020-10-12;8;111;144;47;73;39;28;38;37;13;34;27
2020-10-13;12;69;80;51;63;54;37;47;11;36;30;21
2020-10-14;27;111;95;61;70;36;50;59;20;27;16;16
2020-10-15;18;107;114;80;47;52;51;62;46;19;51;40
2020-10-16;13;118;114;44;62;41;47;71;28;31;45;15
2020-10-17;6;0;0;31;13;5;38;19;31;0;24;0
2020-10-18;1;31;79;30;0;0;14;0;26;0;14;0
2020-10-19;9;119;138;99;142;44;22;79;21;32;44;32
2020-10-20;26;170;182;148;69;53;50;66;25;31;40;37
2020-10-21;31;189;155;74;79;69;61;52;0;41;31;33
2020-10-22;34;165;145;111;82;52;70;74;69;32;36;33
2020-10-23;21;132;201;73;51;71;42;80;51;79;90;36
2020-10-24;2;0;0;47;62;0;77;30;52;12;0;0
2020-10-25;25;0;137;3;0;0;16;26;48;14;61;0
2020-10-26;27;172;6;100;216;145;34;117;41;43;84;37
2020-10-27;41;165;164;97;141;118;84;82;61;63;93;26
2020-10-28;48;189;189;94;186;90;134;73;64;59;92;72
2020-10-29;52;134;146;73;96;102;98;103;77;77;55;38
2020-10-30;46;108;189;112;96;9;83;51;103;93;106;75
2020-10-31;26;0;0;64;36;0;62;91;47;9;21;0
2020-11-01;9;1;154;81;0;0;44;32;37;0;0;0
2020-11-02;63;198;231;100;190;198;58;86;74;70;80;67
2020-11-03;54;131;181;215;100;128;98;134;87;78;84;37
2020-11-04;37;123;203;171;179;76;105;103;70;74;35;60
2020-11-05;46;196;195;151;98;130;85;118;100;43;92;49
2020-11-06;71;174;105;96;29;121;92;117;120;68;100;74
2020-11-07;34;0;6;101;11;0;46;52;44;59;53;0
2020-11-08;14;0;70;48;0;0;65;36;60;1;0;0
2020-11-09;52;250;192;164;69;215;115;168;6;83;99;64
2020-11-10;64;178;173;191;123;107;65;125;82;73;83;33
2020-11-11;38;344;223;188;176;100;181;139;92;77;54;64
2020-11-12;111;345;201;169;98;92;94;126;121;46;74;88
2020-11-13;28;268;123;95;166;120;143;90;90;140;52;82
2020-11-14;43;4;5;101;30;0;74;36;75;29;64;0
2020-11-15;34;6;175;72;0;0;30;50;77;2;146;0
2020-11-16;41;299;194;183;152;183;68;136;73;110;120;56
2020-11-17;106;224;255;159;200;117;106;143;94;74;136;73
2020-11-18;45;155;163;104;177;123;102;119;117;42;112;97
2020-11-19;82;212;200;91;233;72;111;109;97;38;114;83
2020-11-20;62;218;125;141;191;111;106;104;122;96;106;101
2020-11-21;73;1;19;86;22;0;73;64;48;23;51;0
2020-11-22;51;0;6;125;0;0;28;55;67;18;38;0
2020-11-23;40;150;241;234;291;182;84;65;112;89;61;64
2020-11-24;60;198;155;113;169;130;122;99;156;97;110;92
2020-11-25;76;136;135;141;57;125;96;122;139;79;97;58
2020-11-26;63;184;144;130;126;102;99;128;112;82;95;66
2020-11-27;77;163;167;155;88;147;104;82;118;120;45;38
2020-11-28;79;0;0;69;51;0;100;39;96;18;36;0
2020-11-29;28;0;28;38;0;0;47;51;0;21;55;0
2020-11-30;13;220;186;88;91;159;59;61;113;67;48;74
2020-12-01;57;161;114;82;85;69;89;88;125;76;83;67
2020-12-02;52;107;136;108;90;106;78;105;129;85;82;79
2020-12-03;69;242;87;105;172;111;141;121;123;59;111;66
2020-12-04;76;182;147;139;156;133;107;89;139;119;100;83
2020-12-05;43;1;41;68;30;0;45;60;63;9;64;0
2020-12-06;74;4;7;67;0;0;70;46;0;24;33;0
2020-12-07;19;247;182;74;66;167;83;51;111;64;120;171
2020-12-08;75;175;145;102;87;81;81;65;119;65;143;88
2020-12-09;133;84;168;90;123;123;117;92;143;75;158;132
2020-12-10;53;291;168;102;113;105;116;95;115;85;119;71
2020-12-11;48;155;147;121;118;111;70;125;123;94;135;86
2020-12-12;30;0;48;124;22;0;47;65;13;51;74;0
2020-12-13;57;5;0;73;0;0;38;66;0;32;32;0
2020-12-14;71;294;194;94;147;162;133;98;89;55;71;108
2020-12-15;81;183;64;96;56;90;108;61;113;106;102;122
2020-12-16;81;210;161;131;94;157;198;118;133;96;106;85
2020-12-17;111;213;210;167;164;158;142;135;52;82;125;105
2020-12-18;128;117;128;168;171;187;119;90;126;65;83;150
2020-12-19;41;0;18;70;56;0;68;76;110;44;19;0
2020-12-20;21;8;0;90;0;0;55;43;0;0;138;0
2020-12-21;75;254;106;122;153;220;53;101;179;139;88;90
2020-12-22;85;144;142;130;128;104;129;71;171;107;131;104
2020-12-23;106;141;246;136;129;107;165;164;114;98;103;76
2020-12-24;89;1;72;95;74;0;88;39;0;8;127;0
2020-12-25;0;4;1;89;0;0;20;0;6;16;42;0
2020-12-26;94;140;0;58;34;0;23;110;6;39;86;109
2020-12-27;87;44;93;48;0;0;54;22;54;15;65;0
2020-12-28;36;138;89;74;91;118;43;93;197;118;83;45
2020-12-29;96;121;112;115;97;119;112;94;139;99;78;21
2020-12-30;50;60;96;101;74;38;84;117;132;105;90;35
2020-12-31;30;0;52;88;36;0;84;63;0;0;42;0
2021-01-01;0;165;0;23;0;0;21;0;0;0;40;0
2021-01-02;86;4;1;19;56;0;18;119;9;0;39;105
